0,Manchester  England,NA,0,53.485,-2.245,39,"Data Version: 3.7 / Type: Timeseries / LatLon Resolution: 0.010 / Time Resolution: 60 minutes / Averaging Method: End of Period / TD: No / Copyright 2010-2023 Clean Power Research®, L.L.C. DownloadID=60acda9b-16b6-41c5-8d06-957ad19fe68c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2)),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
03/01/1999,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,6,,,,,,88,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,6,,,,,,90,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,6,,,,,,92,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,6,,,,,,93,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,7,,,,,,94,,,,,,,,,5,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,8,,,,,,94,,,,,,,,,7,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,07:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,10,,,,,,93,,,,,,,,,9,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,08:00,,,7,2,,0,2,,7,2,,,,,,,,,,,,,,,,,,,,11,,,,,,92,,,,,,,,,9,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,09:00,,,53,2,,20,2,,49,2,,,,,,,,,,,,,,,,,,,,11,,,,,,92,,,,,,,,,10,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,10:00,,,75,2,,20,2,,68,2,,,,,,,,,,,,,,,,,,,,11,,,,,,93,,,,,,,,,8,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,11:00,,,83,2,,0,2,,83,2,,,,,,,,,,,,,,,,,,,,10,,,,,,94,,,,,,,,,8,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,12:00,,,107,2,,0,2,,107,2,,,,,,,,,,,,,,,,,,,,10,,,,,,96,,,,,,,,,6,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,13:00,,,194,2,,132,2,,130,2,,,,,,,,,,,,,,,,,,,,9,,,,,,94,,,,,,,,,5,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,14:00,,,369,2,,373,2,,199,2,,,,,,,,,,,,,,,,,,,,9,,,,,,90,,,,,,,,,5,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,15:00,,,168,2,,71,2,,140,2,,,,,,,,,,,,,,,,,,,,8,,,,,,87,,,,,,,,,5,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,16:00,,,76,2,,3,2,,75,2,,,,,,,,,,,,,,,,,,,,8,,,,,,86,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,17:00,,,36,2,,3,2,,36,2,,,,,,,,,,,,,,,,,,,,7,,,,,,87,,,,,,,,,4,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,18:00,,,3,2,,0,2,,3,2,,,,,,,,,,,,,,,,,,,,7,,,,,,87,,,,,,,,,3,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,19:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,7,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.12,,,,,,
03/01/1999,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,7,,,,,,84,,,,,,,,,2,,,,,,,,,,,,,,,0.12,,,,,,
