day,average_insolation
60.0,189.5041852839588
61.00009008090436,192.88023657857283
62.000180161808714,196.28148979086902
63.000270242713064,199.70681028813075
64.00036032361743,203.15505618965997
65.00045040452177,206.62507921254664
66.00054048542613,210.11572549785225
67.00063056633049,213.62583641607614
68.00072064723484,217.15424935089362
69.0008107281392,220.69979846025262
70.00090080904356,224.2613154140156
71.00099088994791,227.83763010743286
72.00108097085227,231.4275713498152
73.00117105175663,235.02996752786942
74.00126113266097,238.6436472432319
75.00135121356533,242.26743992382032
76.00144129446969,245.90017640869058
77.00153137537404,249.5406895061615
78.0016214562784,253.1878145250316
79.00171153718276,256.84038977877714
80.00180161808711,260.49725706268225
81.00189169899147,264.1572621039075
82.00198177989583,267.81925498455865
83.00207186080019,271.4820905378733
84.00216194170454,275.14462871768995
85.00225202260889,278.80573494141686
86.00234210351324,282.46428040676597
87.0024321844176,286.1191423825606
88.00252226532196,289.7692044739777
89.00261234622631,293.41335686262425
90.00270242713067,297.0504965218972
91.00279250803501,300.679527408116
92.00288258893937,304.2993606279655
93.00297266984373,307.9089145828282
94.00306275074809,311.50711509062825
95.00315283165244,315.0928954858603
96.0032429125568,318.66519669851164
97.00333299346116,322.2229673126431
98.00342307436551,325.7651636054308
99.00351315526987,329.2907495675265
100.00360323617423,332.7986969056358
101.00369331707859,336.2879850282695
102.00378339798294,339.7576010156678
103.0038734788873,343.2065395749538
104.00396355979164,346.63380298162093
105.004053640696,350.0384010085166
106.00414372160036,353.4193508435359
107.00423380250471,356.77567699729644
108.00432388340907,360.1064112021208
109.00441396431341,363.4105923037109
110.00450404521777,366.68726614695385
111.00459412612213,369.93548545735763
112.00468420702649,373.1543097196717
113.00477428793084,376.3428050553047
114.0048643688352,379.50004410020296
115.00495444973956,382.6251058849162
116.00504453064391,385.71707571861583
117.00513461154827,388.77504507889734
118.00522469245263,391.79811150922876
119.00531477335699,394.78537852596014
120.00540485426134,397.735955536845
121.0054949351657,400.64895777305435
122.00558501607004,403.5235062366945
123.0056750969744,406.3587276658563
124.00576517787876,409.1537545192354
125.00585525878311,411.90772498236805
126.00594533968747,414.61978299751325
127.00603542059183,417.28907831919736
128.00612550149617,419.91476659740215
129.00621558240053,422.4960094903361
130.0063056633049,425.03197480866044
131.00639574420924,427.52183669297364
132.0064858251136,429.96477582626045
133.00657590601796,432.359979682898
134.00666598692231,434.70664281568816
135.00675606782667,437.0039671822271
136.00684614873103,439.25116251175575
137.0069362296354,441.4474467134445
138.00702631053974,443.59204632684725
139.00711639144407,445.6841970150257
140.00720647234846,447.7231441005908
141.0072965532528,449.7081431446208
142.00738663415717,451.63846056812423
143.0074767150615,453.51337431539247
144.0075667959659,455.33217455824666
145.00765687687021,457.09416443983207
146.0077469577746,458.79866085624485
147.00783703867893,460.44499527388945
