"","full_name","name","id","spkid","orbit_id","class","price","profit","spec_B","dv","a","q","e","i","H","moid","moid_ld","moid_jup","BV","UB","epoch","epoch_cal","epoch_mjd","om","n","est_diameter","rms","closeness","per","equinox","albedo","score","tp","n_obs_used","ma","pdes","ad","neo","pha","spec_T","IR","diameter"
"1609","(1991 XB)","","bJ91X00B",3005818,"15","AMO",323806470792,29411311241,"K",8.625568,2.952307,1.220698,0.5865272,16.33102,18.8,0.236104,91.88459,0.693761,NA,NA,2458600,20190427,58600,250.2921,0.1942951,0.59632,0.45085,2677.511,1852.851,"J2000",NA,133.8956,2457821,41,151.5168,"1991 XB",4.683915,NA,NA,NA,NA,NA
"1610","(1996 FQ3)","","bJ96F03Q",3009003,"14","AMO",2.3731e-45,4.038848e-46,"Sq",5.972344,2.032487,1.0786,0.4693203,1.06931,20.8,0.0713448,27.76526,2.00809,NA,NA,2458600,20190427,58600,148.351,0.3401436,0.2373993,0.58677,3473.77,1058.377,"J2000",NA,4.746199e-57,2458676,137,334.3695,"1996 FQ3",2.986375,NA,NA,NA,NA,NA
"1611","(1996 PW)","","bJ96P00W",3009162,"3","TNO",2.105604e-41,-5.117434e-46,"Ld",12.03954,253.3608,2.493321,0.990159,29.95648,14,1.48082,576.2907,2.37213,NA,NA,2458600,20190427,58600,144.3834,0.0002443964,5.438503,0.53407,-1,1473017,"J2000",NA,4.211208e-53,2450302,252,2.028054,"1996 PW",504.2284,NA,NA,NA,NA,NA
"1612","(1997 AC11)","","bJ97A11C",3009717,"18","ATE",2921646279,170332163,"Xc",13.58039,0.9131973,0.5770846,0.3680614,31.69398,20.5,0.103694,40.35459,3.92975,NA,NA,2458600,20190427,58600,116.9389,1.129424,0.2725708,0.56633,2705.801,318.7464,"J2000",NA,135.2959,2458526,151,84.57509,"1997 AC11",1.24931,NA,NA,NA,NA,NA
"1613","(1997 GL3)","","bJ97G03L",3013066,"26","APO",2.48494e-44,2.189463e-45,"V",8.932206,2.275889,0.4960786,0.7820287,6.674958,19.1,0.000198012,0.07706033,1.27756,NA,NA,2458600,20190427,58600,195.4155,0.2870631,0.519373,0.40237,2689.646,1254.08,"J2000",NA,4.969881e-56,2458015,539,167.9516,"1997 GL3",4.0557,NA,NA,NA,NA,NA
"1614","(1997 RT)","","bJ97R00T",3010682,"14","AMO",174309836733,24236712827,"O",6.498046,2.247213,1.070752,0.5235198,6.163269,19.8,0.0598466,23.2905,1.96556,NA,NA,2458600,20190427,58600,325.8428,0.2925754,0.3762525,0.47844,3087.801,1230.452,"J2000",NA,154.4101,2458062,311,157.5978,"1997 RT",3.423673,NA,NA,NA,NA,NA
"1615","(1997 TT25)","","bJ97T25T",3007490,"12","AMO",1.88502e-44,2.313806e-45,"Sq",6.933144,2.122743,1.23545,0.4179936,7.609935,19.3,0.247836,96.45034,2.40578,NA,NA,2458600,20190427,58600,30.24507,0.3186824,0.4736738,0.37398,2908.412,1129.651,"J2000",NA,3.77004e-56,2458673,164,336.9562,"1997 TT25",3.010035,NA,NA,NA,NA,NA
"1616","(1998 BT13)","","bJ98B13T",3007925,"13","APO",9.022273e-49,1.320376e-49,"Sq",6.345949,2.456234,0.9861891,0.5984955,1.416786,26.5,0.00341573,1.3293,1.20527,NA,NA,2458600,20190427,58600,123.333,0.2560351,0.01719806,0.97644,3173.897,1406.057,"J2000",NA,1.804455e-60,2459285,13,184.7049,"1998 BT13",3.926279,NA,NA,NA,NA,NA
"1617","(1998 HT31)","","bJ98H31T",3013039,"JPL 13","APO",10418382822,1113233258,"C",7.585068,2.511614,0.7713808,0.6928745,6.791159,20.8,0.0311557,12.12486,1.13232,NA,NA,2450936,19980503,50936,213.905,0.2476137,0.2373993,0.62351,2769.875,1453.878,"J2000",NA,138.5137,2450985,144,348.0728,"1998 HT31",4.251848,NA,NA,NA,NA,NA
"1618","(1998 SG2)","","bJ98S02G",3014182,"24","AMO",1.88502e-44,2.436009e-45,"Sq",6.737172,2.247539,1.217874,0.45813,2.504717,19.3,0.219334,85.35821,2.18264,NA,NA,2458600,20190427,58600,152.2556,0.2925116,0.4736738,0.59359,2975.469,1230.72,"J2000",NA,3.77004e-56,2458475,201,36.60311,"1998 SG2",3.277204,NA,NA,NA,NA,NA
"1619","(1999 CW8)","","bJ99C08W",3019066,"31","APO",217065344767,14584060252,"B",11.60499,2.235532,0.8953763,0.5994795,33.64541,18.6,0.231602,90.13255,2.6815,NA,NA,2458600,20190427,58600,317.0021,0.2948715,0.6538518,0.52401,2664.696,1220.871,"J2000",NA,133.2548,2458622,153,353.6727,"1999 CW8",3.575687,NA,NA,NA,NA,NA
"1620","(1999 DB2)","","bJ99D02B",3019075,"13","AMO",3.275789e-44,3.288287e-45,"Sq",7.924617,3.037181,1.179308,0.6117096,11.02517,18.9,0.265266,103.2336,0.974622,NA,NA,2458600,20190427,58600,322.5134,0.1862079,0.5694811,0.52723,2718.609,1933.323,"J2000",NA,6.551579e-56,2458965,127,292.092,"1999 DB2",4.895053,NA,NA,NA,NA,NA
"1621","(1999 DY2)","","bJ99D02Y",3019077,"12","AMO",5.191776e-46,7.464142e-47,"Sr",6.401964,2.039324,1.093322,0.4638802,7.623265,21.9,0.108996,42.41797,2.01899,NA,NA,2458600,20190427,58600,352.2561,0.3384346,0.1430472,0.65863,3145.516,1063.721,"J2000",NA,1.038355e-57,2458682,82,332.4908,"1999 DY2",2.985326,NA,NA,NA,NA,NA
"1622","(1999 FN19)","","bJ99F19N",3018335,"81","APO",2.266293e-46,6.267388e-47,"Sq",5.084841,1.647418,1.00257,0.3914291,2.256298,22.5,0.0162967,6.342187,2.696,NA,NA,2458600,20190427,58600,190.0937,0.4661208,0.1085124,0.42935,4805.768,772.3319,"J2000",NA,4.532585e-58,2458246,351,165.0578,"1999 FN19",2.292265,NA,NA,NA,NA,NA
"1623","(1999 RB32)","","bJ99R32B",3022035,"57","AMO",6.241888e-45,8.692803e-46,"V",6.490565,2.429559,1.04393,0.5703211,3.809257,20.1,0.0587466,22.86241,1.67251,NA,NA,2458600,20190427,58600,328.1953,0.2602632,0.3277022,0.46656,3089.165,1383.215,"J2000",NA,1.248378e-56,2458387,359,55.57979,"1999 RB32",3.815188,NA,NA,NA,NA,NA
"1624","(1999 SE10)","","bJ99S10E",3024682,"11","AMO",5300546921,546904474,"X",7.75177,3.215772,1.226652,0.6185514,6.881873,20,0.232981,90.66922,0.242629,NA,NA,2458600,20190427,58600,40.43732,0.1709134,0.3431463,0.59479,2733.42,2106.33,"J2000",NA,136.6816,2457788,84,138.9063,"1999 SE10",5.204893,NA,NA,NA,NA,NA
"1625","(1999 SK10)","","bJ99S10K",3024683,"JPL 104","APO",1.084716e-44,2.083745e-45,"Sq",5.721524,1.763279,0.9853156,0.4412028,6.960916,19.7,0.112934,43.95052,2.65898,NA,NA,2455544,20101214,55544,197.8393,0.4209421,0.3939847,0.44976,3756.256,855.2245,"J2000",NA,2.169432e-56,2455822,440,243.0873,"1999 SK10",2.541243,NA,NA,NA,NA,NA
